nan,NC_004162.2,NC_006273.2,NC_002549.1,NC_007605.1,NC_026438.1,NC_002204.1,NC_003977.2,NC_009823.1,NC_001434.1,NC_001802,NC_027779.1,NC_001806.2,NC_001798.2,NC_019843.3,NC_001803.1,NC_045512.2,NC_001348.1,NC_001542,NC_004291,NC_001355,NC_001541,NC_003663,NC_002645,NC_039210,NC_001489,NC_005222,NC_006574,NC_006447,NC_009942,NC_038307,NC_002058,NC_001617,NC_001608,NC_001498,NC_001474,NC_001544,NC_012777,NC_001477,NC_001475,NC_002640,NC_044949,NC_001545,NC_038989,NC_001796,NC_001449,NC_001405,NC_001722,NC_005831,NC_006551,NC_003690,NC_012735,NC_001612,NC_001927,NC_004108,NC_001543,NC_011704,NC_044045,NC_001526,NC_001472,NC_003215,NC_001669,NC_006213,NC_003899,NC_002728,NC_003908,NC_003687,NC_001460,NC_030795,NC_001731,NC_001490,NC_005079,NC_038308,NC_006310,NC_003468,NC_013060,NC_005217,NC_010956,NC_001430,NC_011507,NC_024781,NC_038311,NC_003443,NC_001906,NC_003417,NC_001357,NC_005336,NC_074971,NC_021928,NC_039192,NC_000858,NC_009448,NC_038319,NC_011202,NC_038861,NC_003461,NC_011203,NC_001716,NC_030922,NC_001611,NC_063383.1
NC_004162.2,1,0.382304156,0.382093317,0.357256847,0.399253731,0.385446009,0.374846948,0.417200501,0.380434783,0.425504766,0.37687117,0.36620388,0.358662756,0.354271575,0.399348461,0.369330052,0.370104848,0.424568966,0.388478976,0.393910711,0.407851603,0.364560605,0.371556147,0.403367159,0.37964333,0.378235695,0.383566067,0.408686171,0.436183395,0.397192066,0.395612343,0.379541109,0.383553361,0.413581272,0.426145313,0.62009823,0.378716243,0.432960508,0.431141917,0.423850179,0.362695925,0.412103117,0.395543393,0.406044973,0.553839232,0.384125259,0.429417989,0.374069604,0.427476775,0.427594694,0.42556701,0.388135726,0.393375944,0.378284139,0.385931709,0.387357042,0.398483173,0.399662189,0.398455285,0.628234549,0.382554793,0.384728939,0.565324753,0.392740119,0.561179213,0.431951438,0.37732142,0.39835587,0.360043559,0.391564762,0.380736176,0.397515024,0.364352536,0.373583004,0.368209421,0.368981289,0.359246741,0.386463224,0.357001371,0.381055962,0.378558931,0.405358926,0.391865687,0.615251844,0.396372655,0.367107873,0.370534724,0.390842664,0.382319274,0.40816172,0.405317164,0.383669533,0.3629472,0.37350824,0.411066749,0.353047651,0.35826981,0.38960014,0.383086068,0.379141227
NC_006273.2,0.382304156,1,0.387241602,0.403987679,0.346582223,0.356725146,0.361289288,0.374461085,0.388933505,0.398536127,0.370698884,0.389853148,0.39178836,0.379309669,0.381601496,0.379210291,0.355191698,0.358484809,0.394394035,0.398533198,0.364241528,0.383110556,0.380257719,0.374448195,0.358764318,0.387378466,0.376544614,0.356172563,0.374443014,0.346747019,0.376042684,0.396213484,0.38080505,0.373664985,0.371278368,0.386693347,0.370281426,0.385972603,0.373318736,0.383176565,0.382450598,0.378732237,0.367522544,0.373534026,0.373821435,0.369726936,0.355820173,0.376592231,0.373992982,0.385414492,0.360849861,0.361299811,0.384523095,0.396842105,0.353476595,0.356763384,0.365986967,0.369904891,0.382452548,0.390322746,0.383103258,0.367872714,0.369966753,0.395585797,0.370110753,0.390344311,0.357573799,0.388022181,0.424817661,0.386528832,0.383217656,0.380121514,0.385234899,0.386195996,0.362337662,0.389379733,0.371988813,0.37786431,0.341638981,0.392362624,0.365187713,0.370957401,0.393439837,0.36768442,0.362216288,0.390387138,0.379803396,0.380420661,0.396537042,0.395112706,0.387433806,0.39621127,0.379460915,0.371339297,0.370079587,0.364272537,0.365943591,0.385286999,0.373553329,0.377953556
NC_002549.1,0.382093317,0.387241602,1,0.351356479,0.378977821,0.363135593,0.372562206,0.358662614,0.35292816,0.367159409,0.391033624,0.353067002,0.345774176,0.398452794,0.43427401,0.394376262,0.365760361,0.392735528,0.377743581,0.380021104,0.37100472,0.379344617,0.409136412,0.375585238,0.376455369,0.384797297,0.399967601,0.363120361,0.383385417,0.382419234,0.39139902,0.376379024,0.490339831,0.426592675,0.386833457,0.382441282,0.386583198,0.394014414,0.384836752,0.385472129,0.372295715,0.340935383,0.395951598,0.432966438,0.383611097,0.347903948,0.377855888,0.397217518,0.380054728,0.378071237,0.380286738,0.373045146,0.399531342,0.402379941,0.370095745,0.36491893,0.373653984,0.376787679,0.379121692,0.382361794,0.381424802,0.39765615,0.395746915,0.439170507,0.381032106,0.380345047,0.380272512,0.371610738,0.35251943,0.376896062,0.376951229,0.393969927,0.376737005,0.39232337,0.390482001,0.394778068,0.351321124,0.386220979,0.352941176,0.490080475,0.388299532,0.428686291,0.440272177,0.384045182,0.373913043,0.368332134,0.394709484,0.439796716,0.381569907,0.364617691,0.375470825,0.38995288,0.378847975,0.401302973,0.435449664,0.36412551,0.368753259,0.384064685,0.389291757,0.370665246
NC_007605.1,0.357256847,0.403987679,0.351356479,1,0.38323058,0.364556962,0.361633182,0.369978509,0.361275173,0.366347811,0.36058426,0.419068514,0.420817132,0.358876776,0.354969211,0.347786905,0.380603594,0.365785938,0.363193224,0.387292098,0.348656339,0.360591603,0.355754354,0.380506156,0.34888919,0.360966482,0.363894553,0.387656868,0.38279846,0.36575762,0.359994436,0.3656859,0.364359378,0.375503203,0.38516129,0.359656155,0.383436583,0.382229628,0.367131089,0.366208368,0.382432626,0.376068845,0.367400703,0.357890195,0.381857686,0.389256443,0.377360574,0.347276038,0.372675947,0.414880641,0.374746656,0.361547594,0.382104671,0.365336068,0.397344064,0.383498146,0.368315985,0.346432733,0.37238901,0.380829896,0.390838651,0.362069282,0.373399749,0.367150208,0.383331688,0.384386888,0.363016739,0.345812687,0.423857607,0.36035388,0.363027806,0.371682728,0.37072922,0.360655738,0.348983617,0.349269792,0.392830759,0.364103306,0.378619154,0.37007087,0.357934397,0.384621241,0.362565879,0.381425465,0.332580262,0.416435209,0.396635197,0.349625113,0.348703391,0.358312236,0.359966358,0.354031187,0.357946797,0.349635967,0.361148481,0.35797427,0.372114591,0.376570458,0.367354393,0.366417518
NC_026438.1,0.399253731,0.346582223,0.378977821,0.38323058,1,0.443766938,0.393145723,0.370662838,0.352941176,0.360687433,0.370046083,0.370398578,0.347682898,0.388393993,0.381236572,0.409211223,0.369030733,0.398929391,0.383265208,0.413954771,0.370770677,0.39246779,0.357659286,0.380571705,0.378309336,0.347159787,0.37895245,0.411566536,0.364742314,0.404361534,0.404375804,0.383558341,0.346976553,0.369530719,0.379633975,0.397797131,0.376513317,0.387417219,0.386458079,0.360050622,0.368044332,0.371885157,0.39883809,0.354928971,0.370328681,0.367247387,0.410836402,0.389366273,0.411874334,0.381137579,0.371170377,0.388301794,0.368134856,0.392330383,0.40915357,0.389463319,0.398872084,0.417104495,0.41487069,0.384150761,0.386960833,0.361634506,0.390799031,0.389905987,0.356693426,0.365341166,0.384483182,0.389356436,0.367491166,0.412004345,0.389839163,0.377281022,0.434423284,0.354210306,0.373519164,0.381702728,0.400673401,0.385201573,0.422776007,0.406711409,0.369584636,0.364841373,0.351705491,0.365887208,0.379676563,0.387583035,0.394869082,0.397773279,0.377497621,0.351725704,0.392356688,0.382051892,0.377296279,0.382600336,0.392684785,0.377872542,0.358322468,0.404669261,0.383845778,0.383030303
NC_002204.1,0.385446009,0.356725146,0.363135593,0.364556962,0.443766938,1,0.392129884,0.355106622,0.354628737,0.405405405,0.407104523,0.353580714,0.364374524,0.404170804,0.390801887,0.401666667,0.361253055,0.375561545,0.366824441,0.396914789,0.372530792,0.386476707,0.39162503,0.378995434,0.386471145,0.39031272,0.395741557,0.412824011,0.376566125,0.39453125,0.384774609,0.375817731,0.383614788,0.380240856,0.387778027,0.383018868,0.354926057,0.404062653,0.3861678,0.376248613,0.388205247,0.344198175,0.399901985,0.39319823,0.369613017,0.382567727,0.39010989,0.375723882,0.368018018,0.36948613,0.377931651,0.372669395,0.374717833,0.376300317,0.382068966,0.387526779,0.386472275,0.399750312,0.399854157,0.381065089,0.392534475,0.381443299,0.374664879,0.375388027,0.384882108,0.382567727,0.356964137,0.396983702,0.354364541,0.415478615,0.393300248,0.380727763,0.447498238,0.383593034,0.354892206,0.388811835,0.377435651,0.390047393,0.430717863,0.404870991,0.401182033,0.387219838,0.4023994,0.333398629,0.4243236,0.374271845,0.375633349,0.371222076,0.386358434,0.360520905,0.403798101,0.383359782,0.35810378,0.381872556,0.345111896,0.391261172,0.387140593,0.394202899,0.394996392,0.401755241
NC_003977.2,0.374846948,0.361289288,0.372562206,0.361633182,0.393145723,0.392129884,1,0.364304376,0.381532779,0.385038922,0.380187658,0.374591652,0.37176259,0.363353069,0.380722426,0.401577833,0.338760269,0.370533446,0.348968991,0.372469636,0.354715175,0.396900397,0.360383802,0.398882682,0.407384988,0.389467808,0.384698665,0.431959751,0.369055824,0.380461377,0.383824298,0.360380241,0.361376358,0.372171564,0.37553495,0.377086628,0.377221188,0.371296455,0.364149974,0.358740812,0.368771871,0.376638177,0.407591074,0.376230405,0.357627666,0.360241357,0.386613576,0.391533396,0.37737139,0.373451327,0.358148568,0.398760331,0.360851506,0.360403488,0.373721881,0.388103011,0.364727153,0.402560455,0.378602305,0.351957122,0.383425414,0.375897436,0.381229663,0.358049432,0.389920912,0.377610107,0.377218185,0.361548346,0.388835969,0.390304183,0.370556673,0.37359353,0.39115148,0.367450516,0.350393701,0.372378517,0.399394856,0.370345745,0.414610547,0.38164755,0.338702325,0.363242883,0.385771911,0.379878578,0.390618993,0.403720562,0.399212451,0.382865529,0.372317597,0.381391147,0.400115252,0.370145221,0.38056042,0.383531157,0.37074041,0.359232614,0.361609388,0.353401469,0.354581024,0.395131451
NC_009823.1,0.417200501,0.374461085,0.358662614,0.369978509,0.370662838,0.355106622,0.364304376,1,0.424051821,0.407038895,0.39302579,0.378190119,0.371849959,0.357245416,0.362842575,0.356118891,0.379924287,0.412443552,0.392894462,0.392533147,0.409599295,0.35404157,0.361647072,0.426455026,0.398807886,0.378609228,0.404731574,0.36357996,0.41651799,0.410699663,0.406224628,0.401126813,0.355470724,0.380892332,0.413606994,0.413112392,0.401966189,0.412274096,0.411542814,0.407143927,0.373029046,0.43051553,0.417269399,0.372617208,0.417906008,0.369119287,0.402541083,0.361257816,0.420425404,0.427963202,0.410748846,0.423805914,0.387152778,0.38247843,0.409397786,0.409521233,0.406595365,0.38913439,0.414564273,0.419397599,0.378891761,0.364963504,0.411802853,0.35516929,0.423397507,0.417165968,0.349304879,0.410364515,0.383236721,0.40306549,0.395761324,0.408514999,0.361300076,0.387999617,0.387240213,0.377415514,0.38781566,0.410346097,0.356628121,0.352773906,0.385461546,0.371089536,0.358585859,0.418962485,0.388232271,0.373229421,0.359815141,0.369379482,0.392580992,0.411543185,0.405097425,0.395215482,0.373553624,0.375691952,0.362810164,0.363720981,0.37436556,0.397248495,0.364648616,0.355188707
NC_001434.1,0.380434783,0.388933505,0.35292816,0.361275173,0.352941176,0.354628737,0.381532779,0.424051821,1,0.378040944,0.386631854,0.376194481,0.387505071,0.362080715,0.348730172,0.338430245,0.362634909,0.384089182,0.398581246,0.391893258,0.400081111,0.376738526,0.367654201,0.422634658,0.395055289,0.390777778,0.399233472,0.347130903,0.385573172,0.412845975,0.415639609,0.386046023,0.344349602,0.346159179,0.371990336,0.381945008,0.408978362,0.377711044,0.373149226,0.386367634,0.3619019,0.405321951,0.411066789,0.347005416,0.384093113,0.373624717,0.368822582,0.357332689,0.392497713,0.388982197,0.392970402,0.415764906,0.370010787,0.370193835,0.424541309,0.414473684,0.424542358,0.385393486,0.412431173,0.381222533,0.381298509,0.348733343,0.382886149,0.363473881,0.381029068,0.385400971,0.346444781,0.409202204,0.381908765,0.394123283,0.406323435,0.406650429,0.338088088,0.378939277,0.39688196,0.383161134,0.37340661,0.407583942,0.332296204,0.364106776,0.388358779,0.35859808,0.37920541,0.380630631,0.385423101,0.374374905,0.375198534,0.365187713,0.392200557,0.407021861,0.399245583,0.413555675,0.354070058,0.352103321,0.356829599,0.344737372,0.376369391,0.404231626,0.358323353,0.354704944
NC_001802,0.425504766,0.398536127,0.367159409,0.366347811,0.360687433,0.405405405,0.385038922,0.407038895,0.378040944,1,0.42173095,0.346442639,0.335340999,0.35394101,0.398276532,0.390102625,0.349149318,0.414199899,0.42013449,0.426904849,0.411146067,0.373464951,0.367181709,0.4084904,0.414779057,0.425965339,0.41638322,0.347649123,0.423455272,0.421952824,0.419754236,0.421452302,0.372303207,0.380943706,0.429369327,0.417224017,0.405105749,0.429817049,0.434816733,0.430466175,0.374560829,0.365849777,0.417536534,0.403933828,0.411155022,0.355251774,0.543775464,0.368107128,0.416280659,0.416179637,0.4299585,0.415066333,0.414540816,0.438073394,0.413864362,0.411594473,0.414191877,0.420735052,0.422937738,0.408537491,0.372271201,0.369144872,0.414224393,0.383091467,0.414088707,0.414886232,0.363916467,0.418138987,0.345545284,0.424157575,0.418441758,0.425088735,0.414123279,0.417972304,0.410060089,0.409254749,0.396470261,0.417826006,0.40690151,0.378115102,0.420866743,0.397372952,0.377288949,0.415136041,0.426179744,0.347244846,0.40106822,0.38445746,0.411968006,0.405186249,0.425201851,0.42084187,0.368777614,0.37135696,0.384046201,0.359051798,0.36494172,0.413285601,0.385675442,0.37180236
